technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
IncPCA,MLP,0.9363125223852444,170.93550443649292,0.8373606889564338,2.84375,0.9162895458372912,0.9572301425661914
IncPCA,MLP,0.9197911970678919,152.7750153541565,0.8356926701464346,2.70703125,0.8949699478598478,0.9460285132382892
IncPCA,MLP,0.9393236256780044,169.82742762565613,0.8409766454352442,2.48828125,0.9201927982711205,0.9592668024439919
IncPCA,MLP,0.9393236256780044,154.8316662311554,0.8445859872611465,2.9609375,0.9201927982711205,0.9592668024439919
IncPCA,MLP,0.9138002663570916,158.31705927848816,0.8455192034139403,2.71875,0.8872795865290088,0.9419551934826884
IncPCA,MLP,0.9378177978442966,156.67365217208862,0.8374329333091418,2.91015625,0.9182401350583413,0.9582484725050916
IncPCA,MLP,0.9318000188913735,159.08451008796692,0.8437803865765445,2.70703125,0.9104502221245142,0.9541751527494908
IncPCA,MLP,0.9348078001634841,164.1182882785797,0.8497164227159026,3.0234375,0.91434103060797,0.9562118126272913
IncPCA,MLP,0.948370144465667,163.59767866134644,0.7903636137999503,2.6328125,0.9319523313741025,0.9653767820773931
IncPCA,Tree,0.9190364443042291,1.8390188217163086,0.7156528206137761,2.390625,0.9055659782962856,0.9338085539714868
IncPCA,Tree,0.9283926726091907,1.596125841140747,0.6304758674161659,2.24609375,0.9182504293548841,0.939918533604888
IncPCA,Tree,0.9199640723062312,1.757821798324585,0.6579609335695693,2.41015625,0.9104211863703401,0.9307535641547862
IncPCA,Tree,0.9314924789168548,1.6249046325683594,0.7009023354564756,2.34765625,0.9264268055913909,0.9368635437881874
IncPCA,Tree,0.9409763979676757,1.7183506488800049,0.718897369074212,2.25390625,0.9361747156298525,0.9460285132382892
IncPCA,Tree,0.9341262475074678,1.7522313594818115,0.6394485683987274,2.2890625,0.9268845854162809,0.9419551934826884
IncPCA,Tree,0.9163082146389311,1.5034639835357666,0.6151632762312633,2.28515625,0.9084213318728713,0.924643584521385
IncPCA,Tree,0.928553409595733,1.7482993602752686,0.7166666666666667,2.3515625,0.9208264417128351,0.9368635437881874
IncPCA,Tree,0.9371673072942225,1.535505771636963,0.7138222255244322,2.5234375,0.9293237601192369,0.9490835030549898
IncPCA,Tree,0.9370163789993964,1.5374619960784912,0.750797024442083,2.25,0.9283818094226091,0.9480651731160896
IncPCA,KNN,0.9272925179323862,7.3467442989349365,0.683273108493933,2.296875,0.9046295643372974,0.9511201629327902
IncPCA,KNN,0.935803335626917,7.2627904415130615,0.6727963525835867,2.34765625,0.9162478123034187,0.9562118126272913
IncPCA,KNN,0.9312908685855302,7.387959718704224,0.7293015534210838,2.5625,0.9104056503297895,0.9531568228105907
IncPCA,KNN,0.9318000188913735,7.516669988632202,0.6860547847741018,2.33203125,0.9104502221245142,0.9541751527494908
IncPCA,KNN,0.957436333338944,7.155955791473389,0.7804170410302484,2.62109375,0.9437865281793256,0.9714867617107943
IncPCA,KNN,0.9272925179323862,7.574050188064575,0.7158056745182013,2.3828125,0.9046295643372974,0.9511201629327902
IncPCA,KNN,0.9378177978442966,7.583367109298706,0.7247997719084524,2.3125,0.9182401350583413,0.9582484725050916
IncPCA,KNN,0.9393236256780044,7.643906831741333,0.6931263269639066,2.13671875,0.9201927982711205,0.9592668024439919
IncPCA,KNN,0.9277756802603521,7.768366813659668,0.7485379451587212,2.36328125,0.9064747080094767,0.9501018329938901
IncPCA,KNN,0.9376818869581245,8.926908731460571,0.7022163120567376,2.3125,0.9313984717769701,0.9562118126272913
IncPCA,LogReg,0.9363125223852444,0.9728646278381348,0.8454407294832826,3.47265625,0.9162895458372912,0.9572301425661914
IncPCA,LogReg,0.9348078001634841,0.8653252124786377,0.8587809891770067,3.11328125,0.91434103060797,0.9562118126272913
IncPCA,LogReg,0.9513900309083166,0.9159178733825684,0.8572368421052632,3.30078125,0.9358887676755946,0.9674134419551935
IncPCA,LogReg,0.9302969615753002,0.8070840835571289,0.8475938312894835,3.2890625,0.9085079288703797,0.9531568228105907
IncPCA,LogReg,0.9378177978442966,0.805985689163208,0.8228920971462637,3.359375,0.9182401350583413,0.9582484725050916
IncPCA,LogReg,0.9529007915895324,1.0012903213500977,0.8717818255825786,3.6953125,0.9378600968139339,0.9684317718940937
IncPCA,LogReg,0.957436333338944,0.9016828536987305,0.82764300688829,3.40234375,0.9437865281793256,0.9714867617107943
IncPCA,LogReg,0.9302969615753002,0.9410505294799805,0.8477796358231141,3.12890625,0.9085079288703797,0.9531568228105907
IncPCA,LogReg,0.9378177978442966,0.8282656669616699,0.8844249760244679,3.27734375,0.9182401350583413,0.9582484725050916
IncPCA,LogReg,0.9242903080953506,0.8216373920440674,0.8365665236051503,3.734375,0.9007594957711309,0.9490835030549898
ICA,Naive Bayes,0.9326412262836318,0.06860494613647461,0.8096045745299476,2.21875,0.9244378014235448,0.9429735234215886
ICA,Naive Bayes,0.9317108519468515,0.06326985359191895,0.8318101889689674,2.390625,0.9230207138048279,0.9419551934826884
ICA,Naive Bayes,0.9305520241863722,0.11186480522155762,0.8321310729320741,2.08203125,0.9233547274744992,0.939918533604888
ICA,Naive Bayes,0.9399617783114885,0.06022357940673828,0.8467520461157789,2.234375,0.9332904971397842,0.9480651731160896
ICA,Naive Bayes,0.9311273314395969,0.0594480037689209,0.8359214404240037,2.3671875,0.9226665681690679,0.9409368635437881
ICA,Naive Bayes,0.9214951968403745,0.055870771408081055,0.8529156327543425,2.25390625,0.9109900491182654,0.9358452138492872
ICA,Naive Bayes,0.9340755283650881,0.06428122520446777,0.7924626111298307,2.38671875,0.92632177772826,0.9429735234215886
ICA,Naive Bayes,0.9279724742145464,0.056793212890625,0.8487018201284796,2.37890625,0.9196269595136702,0.9389002036659878
ICA,Naive Bayes,0.9228141796820303,0.05555891990661621,0.8236659460689498,2.234375,0.9121116825519274,0.9348268839103869
ICA,Naive Bayes,0.9338571153115419,0.057878971099853516,0.8102698483496878,2.34765625,0.9300015984062218,0.9378818737270875
ICA,SVM,0.9363125223852444,23.672261953353882,0.2507852077001013,11.8828125,0.9162895458372912,0.9572301425661914
ICA,SVM,0.9408300050255243,33.875285387039185,0.6470348315523289,12.484375,0.9221475354756284,0.960285132382892
ICA,SVM,0.9378177978442966,35.04347085952759,0.6354941551540915,15.12890625,0.9182401350583413,0.9582484725050916
ICA,SVM,0.9393236256780044,28.227124214172363,0.670647558386412,15.66015625,0.9201927982711205,0.9592668024439919
ICA,SVM,0.9438444148275603,40.05957007408142,0.727012727012727,16.47265625,0.9260632318598313,0.9623217922606925
ICA,SVM,0.9242903080953506,22.696959972381592,0.6825751072961374,16.08203125,0.9007594957711309,0.9490835030549898
ICA,SVM,0.9438444148275603,25.624669313430786,0.7134277134277135,15.71875,0.9260632318598313,0.9623217922606925
ICA,SVM,0.921290339074044,26.515400648117065,0.7082506203473945,11.45703125,0.89689772317188,0.9470468431771895
